pays,zone,vendeur,site_web,type_vendeur,categories_observees,notes
Canada,Ontario,MumNums,https://mumnums.ca/,Boutique DTC,Bonbons; fruits; commandes speciales,"Niagara/Hamilton; ventes locales et en ligne"
Canada,Ontario,Pure Bliss,https://pure-bliss.ca/,Marque DTC,Fruits; legumes; yogurt bites,"Positionnement fruits sans sucre ajoute; Nestleton, ON"
Canada,Ontario,Forever Foods,https://www.foreverfoods.ca/,Marque DTC,Fruits; boosters; collations,"Catalogue alimentaire lyophilise; produits a petits formats"
Canada,Ontario,Just Freeze It Sweets,https://www.justfreezeitsweets.ca/,Boutique DTC,Bonbons; fruits,"Expedition Canada; focus bonbons lyophilises"
Canada,Canada,Candy Frost,https://candyfrost.ca/,Boutique DTC,Bonbons lyophilises; wholesale,"Prix CAD; expedition Canada; programme wholesale"
Canada,Alberta,Northern Lights Candy,https://northernlightscandy.ca/,Boutique DTC,Fruits; bonbons,"Fort Saskatchewan, AB; plusieurs fruits listes"
Canada,Canada,The Candy Galaxy,https://thecandygalaxy.com/,Marque/wholesale,Bonbons lyophilises,"Distribution via detaillants et marketplaces; retail partner program"
Canada,Canada,Windwick Farm,https://windwickfarm.ca/,Boutique DTC,Fruits; bonbons; creme glacee lyophilisee,"Proudly made in Canada; certains produits non expedition"
Canada,Canada,The Manic Maker,https://themanicmaker.ca/,Boutique DTC,Bonbons; fruits; pickles; desserts,"Catalogue large de bonbons/fruits"
Canada,Canada,Sweet Dees,https://sweetdees.ca/,Boutique DTC,Bonbons; fruits,"Site bilingue bonbons lyophilises; localisation a verifier"
Canada,Canada,Treatly Freeze Dried Food,https://treatlyfreezedriedfood.com/,Boutique DTC,Fruits; bonbons,"Fruits et bonbons en CAD"
Canada,Canada,Prairie Rose Pantry,https://prairierosepantry.ca/,Boutique DTC,Fruits; legumes; poudres; blends culinaires,"Livraison Canada; petits lots"
Canada,Canada,Briden Solutions,https://www.bridensolutions.ca/freeze-dried-food,Detailant specialise,Fruits; legumes; viandes; repas; conserves #10,"Detailant urgence/plein air depuis 2009"
Canada,Canada,Canadian Tire,https://www.canadiantire.ca/en/cat/sports-recreation/camping-hiking/camp-stoves-cooking/freeze-dried-food-DC0002192.html,Marketplace/detailant,Repas Happy Yak; aliments plein air,"Canal retail important pour prix concurrents au Canada"
Canada,Canada,Walmart Canada,https://www.walmart.ca/en/c/kp/freeze-dried-meals,Marketplace/detailant,Repas; fruits; produits importes,"Utile pour benchmark prix marketplace"
Etats-Unis,USA,Mountain House,https://mountainhouse.com/,Marque/manufacturier DTC,Repas aventure; kits urgence; conserves #10,"Acteur majeur; 30-year taste guarantee; fabrique a Albany, Oregon"
Etats-Unis,USA,Peak Refuel,https://peakrefuel.com/,Marque DTC,Repas lyophilises; desserts; kits,"Fabrique/conditionne aux USA; expedition USA"
Etats-Unis,Colorado,Backpacker's Pantry,https://backpackerspantry.com/,Marque DTC,Entrees; dejeuners; desserts; kits urgence,"Marque historique; fait au Colorado"
Etats-Unis,USA,ReadyWise,https://readywise.com/,Marque DTC,Urgence; camping; #10 cans; fruits; viandes,"Gros acteur food storage et camping"
Etats-Unis,USA,AlpineAire Foods,https://www.katadyngroup.com/us/en/brands/AlpineAire~b4900,Marque,Repas plein air lyophilises/deshydrates,"Distribue en outdoor retail; verifier catalogue officiel par region"
Etats-Unis,USA,Farm to Summit,https://farmtosummit.com/,Marque DTC,Repas plein air; fruits/legumes selon catalogue,"Marque outdoor specialisee; a crawler au niveau produit"
Etats-Unis,USA,Trailtopia,https://www.trailtopia.com/,Marque DTC,Repas; dejeuners; desserts; sides,"Marque repas de sentier; present chez REI"
Etats-Unis,USA,Outdoor Pantry,https://outdoorpantry.com/collections/view-all-meals,Marque DTC,Repas lyophilises; snacks; ingredients,"Catalogue repas premium plein air"
Etats-Unis,USA,Pinnacle Foods Co,https://pinnaclefoods.co/,Marque DTC,Repas gourmet lyophilises,"Positionnement chef-prepared premium"
Etats-Unis,Utah,FOUNDATION Outdoors,https://www.foundation-outdoors.com/,Marque/manufacturier,Repas 100% lyophilises; snacks; pet treats,"Declare 100% freeze-dried ingredients"
Etats-Unis,USA,Next Mile Meals,https://www.nextmilemeals.com/,Marque DTC,Repas keto/low-carb backpacking,"Positionnement keto camping/backpacking"
Etats-Unis,Colorado,KMP Provisions,https://www.kmpprovisions.com/,Boutique DTC,Repas; fruits; legumes; oeufs; cocktail infusions; bonbons,"Petite marque multi-categorie"
Etats-Unis,USA,Backcountry Bistro,https://backcountrybistro.com/,Marque DTC,Repas gourmet lyophilises,"Catalogue restreint; plusieurs produits parfois sold out"
Etats-Unis,USA,Freeze Dried Food Store USA,https://www.freezedriedfoodstore.com/,Detailant specialise,ReadyWise; urgence; camping; repas; supplies,"Detailant multi-marques"
Etats-Unis,USA,REI Co-op,https://www.rei.com/c/backpacking-food,Detailant outdoor,Repas plein air multi-marques,"Canal majeur pour benchmark: Mountain House, Peak Refuel, Backpacker's Pantry, etc."
Etats-Unis,USA,Safecastle,https://www.safecastle.com/,Detailant urgence,Freeze-dried emergency food; long-term storage,"Detailant preparation/urgence"
Etats-Unis,USA,Willow & Fern Co Freeze Dried,https://willowferncofreezedried.com/products/,Boutique DTC,Bonbons; taffy; desserts; creme glacee; fruits,"Bonbons freeze-dried; wholesale et fundraising"
Etats-Unis,USA,Polar Bear Bites,https://polarbearbites.com/,Boutique DTC,Bonbons lyophilises,"Expedie aux USA; licensed manufacturing facility"
Etats-Unis,Arizona,Sweet AZ Candy,https://www.sweetazcandy.com/,Boutique DTC,Bonbons lyophilises,"Phoenix, AZ; commandes en ligne"
Etats-Unis,USA,Polar Pieces,https://www.polarpieces.com/,Boutique DTC,Bonbons lyophilises,"Bonbons et merchandise; ventes directes"
Etats-Unis,USA,Like 'N Candy,https://www.likencandy.com/,Boutique DTC,Bonbons lyophilises,"Focus bonbons; shipping gratuit seuil"
Etats-Unis,USA,Candeeze,https://candeeze.co/freeze-dried-candy,Marque DTC,Bonbons lyophilises,"Tubs; positionnement volumique/viral"
Etats-Unis,Michigan,Big Lake Candy Company,https://www.biglakecandy.com/,Boutique DTC,Bonbons; fruits; snacks,"Owosso, Michigan; online + retail/fundraising"
Etats-Unis,USA,Lolli Lane Sugar & Co,https://www.lollilane.com/,Boutique DTC,Bonbons lyophilises,"Catalogue bonbons avec prix unitaires"
Etats-Unis,USA,UpTop Treats,https://uptoptreats.com/,Boutique DTC,Bonbons lyophilises; samplers; gifts,"Fundraising et wholesale"
Etats-Unis,Texas,Space City Candy,https://www.spacecitycandy.com/,Boutique DTC,Bonbons lyophilises,"Houston/Spring TX; produits a 8 USD observes"
Etats-Unis,USA,Freeze N Dried,https://freezendried.com/,Boutique DTC,Fruits; legumes; snacks,"Livraison USA et Canada selon site"
Etats-Unis,USA,Chill Bites,https://www.chillbitesfood.com/,Boutique DTC,Fruits; yogurt; snacks,"Focus fruits/yogurt freeze-dried"
Etats-Unis,USA,Nature's Turn,https://naturesturn.com/,Marque DTC,Fruit crisps lyophilises,"100% fruit; packs lunchbox"
Etats-Unis,Texas,Texas Farmers Kitchen,https://texasfarmerskitchen.com/product/freeze-dried-cherry-tomatoes/,Boutique DTC,Fruits; legumes; produits lyophilises,"Cuisine manufacturiere familiale licenciee"
Etats-Unis,Colorado,Sadie's All Natural,https://www.sadiesallnatural.com/,Marque DTC,Pet treats lyophilises,"Bison/chicken/beef treats; handmade in Colorado"
Etats-Unis,Wisconsin,Fresh Is Best,https://www.freshisbest.com/,Marque DTC,Pet food; pet treats lyophilises,"Milwaukee; chiens et chats"
Etats-Unis,Texas,RGV Freeze Dried Treats,https://www.rgvfreezedried.com/,Boutique DTC,Pet treats lyophilises,"San Antonio; livraison USA"
Etats-Unis,USA,Chewy,https://www.chewy.com/b/freeze-dried-dehydrated-treats-1547,Marketplace/detailant,Pet treats lyophilises multi-marques,"Canal majeur pour marques animaux"
Etats-Unis,USA,Petco,https://www.petco.com/category/dog-treats-and-chews/dog-freeze-dried-treats,Detailant pet,Pet treats lyophilises multi-marques,"Benchmark prix animaux"
Etats-Unis,USA,Walmart US,https://www.walmart.com/browse/pets/freeze-dried-dog-treats/5440_202072_8052432_2025001,Marketplace/detailant,Pet treats; aliments; bonbons,"Canal marketplace/retail large"
Mexique,Mexique,LIOZ Dulces Liofilizados,https://www.dulcesliofilizados.com/,Boutique DTC,Dulces/bonbons liofilises,"Tienda Shopify; prix MXN; variantes Skittles, gomitas, etc."
Mexique,Puebla,Procesadora de Alimentos CA,https://liofilizacion.com.mx/,Manufacturier/B2B,Fruits; legumes; poudres; produits sur demande,"Entreprise mexicaine de liofilisation; cotations B2B"
Mexique,Mexique,NUTRIAM,https://nutriam.mx/,Manufacturier/B2B,Fruits; liofilises; supplements; matieres premieres,"Export USA/Canada; certifications mentionnees"
Mexique,Mexique,Nomada Alimentos,https://nomadaalimentos.com.mx/,B2B/ingredients,Fruits; poudres; ingredients a granel,"Granel a partir de 1 kg; cible cafes/reposterie/distributeurs"
Mexique,Mexique,Frixio,https://www.frixio.com.mx/,Manufacturier/marque,Fruits; yogurt; autres produits liofilises,"Positionnement capacite industrielle Mexique/LatAm"
Mexique,Mexique,Gun Kan,https://www.loxpc.com.mx/,Boutique DTC,Aliments liofilises pour poissons,"Niche animaux/aquarium; krill/tubifex/artemia"
Mexique,Mexique,Gredi Mexico,https://www.gredi.com.mx/collections/frutas-liofilizadas,Boutique DTC/B2B,Fruits; poudres; guacamole; legumes,"Catalogue large d'ingredients liofilises"
Mexique,Mexique,LioMex,https://liofilizacionmexicana.com/,Boutique/manufacturier,Repas; proteines; cereales; fruits; boissons,"Catalogue alimentaire mexicain lyophilise"
Mexique,Mexique,Freezy Bites,https://freezybites.com.mx/,Marque DTC,Avocat; guacamole; fruits; yogurt,"Produits snack en MXN"
Mexique,Mexique,LioMart,https://liomart.mx/,Marque DTC,Fruits; poudres; packs,"100% mexicaine; snacks de fruits"
Mexique,Oaxaca,Fruvethy,https://tiendafruvethy.com/,Marque DTC/B2B,Fruits; fleurs; poudres; mixes,"Oaxaca; boutique en ligne et mayoreo"
Mexique,Mexique,MercadoLibre Mexico,https://listado.mercadolibre.com.mx/frutas-liofilizadas,Marketplace,Fruits; bonbons; poudres; snacks,"Canal a crawler pour vendeurs tiers et prix concurrentiels"
